college,avg_rank
Brno University of Technology,296.5
University of Sannio,298.0
University of Essex,298.75
University of Hildesheim,301.5
University of Hawaii at Manoa,302.0
Drexel University,303.25
IT University of Copenhagen,304.5
Illinois Institute of Technology,305.25
Beihang University,305.75
Cardiff University,306.0
University of Piraeus,306.75
University of Guelph,307.0
Case Western Reserve University,307.75
University of Düsseldorf,308.75
University of Groningen,309.0
Scuola Superiore Sant'Anna,309.25
City University of London,311.0
Florida Atlantic University,311.25
Universidad Rey Juan Carlos,311.75
IIIT Hyderabad,312.0
College of William and Mary,313.0
Tufts University,313.25
Ecole Normale Superieure de Lyon,313.5
University of Canterbury,313.5
Colorado School of Mines,313.75
IISc Bangalore,315.5
IIT Kharagpur,316.25
University of Magdeburg,316.5
CRIStAL,316.75
University of Georgia,317.0
George Washington University,317.25
Queensland University of Technology,317.75
BUPT,317.75
HUST,318.25
University of Kassel,318.75
Birkbeck University of London,319.5
RMIT University,321.5
University of Kiel,322.0
University of Duisburg-Essen,323.5
University of Potsdam,324.5
IIT Bombay,325.0
University of New Mexico,325.25
Queen's University Belfast,325.5
Concordia University,326.5
Wayne State University,326.75
University of New Brunswick,327.0
University of Southern Mississippi,327.25
University of Memphis,328.0
University of Lübeck,330.0
University of Münster,331.0
Virginia Commonwealth University,335.25
PUC-RIO,335.25
University of Regina,335.5
West Virginia University,336.0
University of Tartu,336.25
University of Tsukuba,336.5
University of Newcastle,336.5
USP-ICMC,338.0
University of Augsburg,339.75
UNICAMP,340.0
UFRGS,340.75
Cleveland State University,342.75
University of North Texas,345.75
Xi'an Jiaotong University,346.25
Université de Sherbrooke,348.0
University of Warsaw,348.5
Open University UK,349.25
Hunan University,351.0
University of Ioannina,352.5
Bauhaus University Weimar,353.5
NTNU,353.5
Ontario Tech University,355.0
National Tsing Hua University,355.25
UNC - Charlotte,356.75
Royal Holloway University of London,357.5
University of L'Aquila,358.25
University of Miami,359.0
University of Göttingen,361.25
University of Kentucky,363.25
Tata Inst. of Fundamental Research,363.5
University of Iowa,369.0
Kyungpook National University,369.25
University of Sussex,370.25
Brandeis University,375.0
Masaryk University,375.25
University of Rostock,375.5
Freie Universitaet Berlin,377.0
Simula UiB,377.25
TU Ilmenau,377.25
Louisiana State University,377.5
IIT Delhi,378.5
Heriot-Watt University,379.75
Yonsei University,381.25
University of A Coruña,382.75
Shenzhen University,383.0
University of Siegen,383.25
PUC-RS,383.5
University of Cincinnati,384.0
University of Exeter,385.5
Bocconi University,385.75
Qatar University,387.25
Kansas State University,388.25
Keio University,390.0
Auburn University,390.75
IIT Patna,391.75
Renmin University of China,391.75
University of Mainz,392.25
University of Koblenz-Landau,393.0
DePaul University,393.5
National Cheng Kung University,393.75
Massey University,395.0
Masdar Institute,395.5
University of Vermont,398.0
Naval Postgraduate School,400.25
Polytechnique Montreal,400.75
Universidad de Chile,401.0
Brandenburg University of Technology,401.75
USP,402.5
University of Molise,404.25
University of Trier,405.5
Korea University,407.5
Aberystwyth University,408.5
Old Dominion University,408.75
Koç University,409.5
UFF,410.25
University of Bayreuth,410.25
IIIT Delhi,410.25
University of Aberdeen,410.5
IMDEA Software Institute,410.75
UFRJ,411.25
Florida Institute of Technology,411.75
University of Salzburg,412.75
Waseda University,413.25
Maastricht University,414.0
University of Murcia,414.0
UFPE,415.0
Western Michigan University,415.25
University of Missouri - Kansas City,416.5
University of Nevada,417.25
IUPUI,418.0
Boğaziçi University,418.25
University of Louisiana - Lafayette,418.75
University of Bamberg,419.75
University of Louisville,423.25
Durham University,423.5
University of Dundee,424.75
University of Texas - El Paso,424.75
Shandong University,425.0
University of Malaya,426.0
University of Oldenburg,426.5
Universidade NOVA de Lisboa,427.25
IIT (BHU) Varanasi,427.75
American University of Beirut,429.25
Cyprus University of Technology,430.0
Bundeswehr University Munich,430.25
IPI PAN,431.0
Sharif University of Technology,431.0
Ryerson University,431.75
Boise State University,431.75
Özyeğin University,433.5
McMaster University,435.75
University of Wyoming,436.25
University of Tulsa,436.25
University of Szeged,436.25
University of St Andrews,437.0
University of Wroclaw,437.75
University of Halle-Wittenberg,437.75
University of Haifa,437.75
Stevens Institute of Technology,438.25
Tulane University,439.75
Charles University,440.5
Friedrich Schiller University Jena,442.5
University of Osnabrück,443.0
Jacobs University Bremen,444.0
Université Laval,445.25
Université Jean Monnet,447.0
Portland State University,448.25
Kyung Hee University,448.25
Tilburg University,448.75
University of New Hampshire,449.75
University of Wuppertal,450.25
IIT Gandhinagar,450.75
ShanghaiTech University,453.0
TU Clausthal,453.25
University of Alabama - Birmingham,455.0
University of Buenos Aires,456.75
IIT Madras,458.0
IIT Hyderabad,458.75
University of Michigan-Dearborn,464.0
Middlesex University,464.25
Middle East Technical University,466.0
Hamburg University of Technology,466.25
Hanyang University,467.0
Hacettepe University,467.25
Sabancı University,468.25
Texas State University,469.5
IIIT Bangalore,471.5
University of Maine,474.5
Claremont Graduate University,476.0
Lebanese American University,476.25
Kent State University,476.75
Utah State University,477.0
UFPR,479.0
New Mexico State University,479.0
UNIST,482.75
Simmons University,483.0
IIT Bhubaneswar,484.0
DAIICT,484.5
Istanbul Technical University,484.75
IMSc,485.0
OHSU,485.0
University of Twente,485.5
Universidade de Brasília,486.0
The University of Alabama,488.5
University of Arkansas,490.0
Texas Tech University,492.0
Goldsmiths University of London,494.5
BITS Pilani,494.75
IPM,496.25
IIT Jodhpur,496.5
IIT Indore,498.0
Loughborough University,498.25
Southern Methodist University,498.75
CMI,502.25
IUST,502.25
IIT Ropar,505.25
Mississippi State University,505.5
Stellenbosch University,506.0
IIT Mandi,507.0
Tongji University,507.25
University of Alabama - Huntsville,509.25
Memorial University of Newfoundland,512.0
University of Mississippi,512.25
TOBB ETÜ,513.5
Augusta University,514.25
University at Albany - SUNY,515.25
IIT Roorkee,516.75
Boston College,517.5
JUST,517.75
American University in Cairo,519.25
Ohio University,520.5
Nova Southeastern University,521.25
Universidad de los Andes,522.25
University of Jordan,522.75
BUET,523.25
TU Chemnitz,524.0
Oakland University,524.5
University of Wisconsin - Milwaukee,525.0
Ecole Normale Superieure de Rennes,525.5
Ariel University,526.0
University of Nevada Las Vegas,528.0
UFU,529.0
University of Cape Town,529.5
Montana State University,529.75
University of Denver,530.0
Michigan Technological University,532.25
King Abdulaziz University,532.75
Yıldız Technical University,532.75
University of Idaho,533.25
University of Windsor,534.75
Federal University of Rio Grande,537.0
Wichita State University,538.5
Universidad de Zaragoza,539.25
Universidad Nacional de Córdoba,543.75
DTU,544.25
LUMS,544.5
National Institute of Technology Silchar,545.5
South Asian University,546.75
North Dakota State University,547.5
University of Nicosia,550.0
Towson University,552.25
BITS Pilani-Goa,552.75
University of Nebraska - Omaha,555.5
University of New Orleans,556.25
University of Malta,558.25
SUFE,563.25
University of Arkansas - Little Rock,563.5
Galatasaray University,564.75
De La Salle University,565.0
New Mexico Tech,566.25
Babeș-Bolyai University,567.75
Indiana State University,567.75
UFMS,568.75
Izmir Institute of Technology,570.75
Royal Military College of Canada,574.0
KMUTNB,575.5
Universidade Federal de Viçosa,576.0
Oklahoma State University,577.5
Louisiana Tech University,579.0
Missouri S&T,579.75
Ruhr-Universty Bochum,581.75
Air Force Institute of Technology,583.5
TU Freiberg,586.25
University of Colorado - Denver,588.0
IIT Goa,589.25
Chulalongkorn University,591.25
LIU Post,592.0
Wichita State Unitveristy,595.0
